,Anna,Cecilia,Celina,Franziska,Gina,Isabelle,Karina,Luisa,Ricarda,Zoe
Amadu,0.05749385749385749,0.2708194825841885,0.07532880474056945,0.07787252493134846,0.10990027460615696,0.07836392542274895,0.11033386327503975,0.07804596039890158,0.05749385749385749,0.0843474490533314
Calvin,0.05636652695476225,0.07527099291805174,0.07454834513658043,0.07741003035120682,0.2800404682757624,0.07723659488365371,0.10949559184853302,0.10990027460615696,0.05636652695476225,0.08336464807053043
Fabio,0.05370718311894782,0.07313195548489666,0.07186009538950715,0.0742014742014742,0.07527099291805174,0.07443272149154502,0.17268391386038445,0.2708194825841885,0.05370718311894782,0.08018499783205665
Luca,0.0540251481427952,0.07186009538950715,0.07206243676831912,0.10423471599942188,0.07454834513658043,0.07558895794189911,0.1067784361902009,0.07532880474056945,0.0540251481427952,0.31154791154791156
Lukas,0.055961844197138316,0.07443272149154502,0.07558895794189911,0.07758346581875994,0.07723659488365371,0.2792021968492557,0.10923543864720335,0.07836392542274895,0.055961844197138316,0.1164330105506576
Martin,0.06003757768463651,0.08018499783205665,0.31154791154791156,0.08426073131955485,0.08336464807053043,0.1164330105506576,0.11978609625668449,0.0843474490533314,0.06003757768463651,0.0
Maurice,0.028559040323746208,0.05370718311894782,0.0540251481427952,0.056106373753432574,0.05636652695476225,0.055961844197138316,0.08099436334730452,0.05749385749385749,0.4967480849833791,0.06003757768463651
Max,0.056106373753432574,0.0742014742014742,0.10423471599942188,0.2825263766440237,0.07741003035120682,0.07758346581875994,0.10969793322734499,0.07787252493134846,0.056106373753432574,0.08426073131955485
Michael,0.4967480849833791,0.05370718311894782,0.0540251481427952,0.056106373753432574,0.05636652695476225,0.055961844197138316,0.08099436334730452,0.05749385749385749,0.028559040323746208,0.06003757768463651
Pharrell,0.08099436334730452,0.17268391386038445,0.1067784361902009,0.10969793322734499,0.10949559184853302,0.10923543864720335,0.0,0.11033386327503975,0.08099436334730452,0.11978609625668449
