,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.028761061946902654,0.06305309734513274,0.09734513274336283,0.03650442477876106,0.0,0.16371681415929204,0.0,0.06305309734513274,0.3838495575221239,0.16371681415929204,0.1084070796460177
Cecilia,0.8030973451327433,0.022123893805309734,0.015486725663716814,0.02101769911504425,0.0,0.034292035398230086,0.0,0.04535398230088496,0.012168141592920354,0.046460176991150445,0.1084070796460177
Celina,0.012168141592920354,0.09292035398230089,0.3252212389380531,0.08296460176991151,0.0,0.16150442477876106,0.0022123893805309734,0.09402654867256637,0.10287610619469026,0.1261061946902655,0.1084070796460177
Franziska,0.06858407079646017,0.12168141592920353,0.09955752212389381,0.12057522123893805,0.0,0.12721238938053098,0.011061946902654867,0.19358407079646017,0.07190265486725664,0.18584070796460178,0.1084070796460177
Gina,0.014380530973451327,0.24004424778761063,0.09292035398230089,0.11061946902654868,0.0,0.08738938053097345,0.01327433628318584,0.15597345132743362,0.1084070796460177,0.17699115044247787,0.13274336283185842
Isabelle,0.04314159292035398,0.11393805309734513,0.07743362831858407,0.168141592920354,0.0,0.22676991150442477,0.017699115044247787,0.09292035398230089,0.10508849557522124,0.15486725663716813,0.1084070796460177
Karina,0.00663716814159292,0.25442477876106195,0.19358407079646017,0.13606194690265486,0.0,0.18805309734513273,0.017699115044247787,0.09845132743362832,0.10508849557522124,0.0,0.1084070796460177
Luisa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1084070796460177
Ricarda,0.0,0.0022123893805309734,0.00995575221238938,0.02654867256637168,0.0,0.011061946902654867,0.9203539823008849,0.0,0.0,0.029867256637168143,0.0
Zoe,0.023230088495575223,0.08960176991150443,0.08849557522123894,0.2975663716814159,0.0,0.0,0.017699115044247787,0.25663716814159293,0.11061946902654868,0.1161504424778761,0.1084070796460177
