,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Cecilia,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Celina,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Franziska,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Gina,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Isabelle,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Karina,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Luisa,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Ricarda,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.1111111111111111,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.09876543209876543,0.0
Zoe,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0
