,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.0
Cecilia,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Celina,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.0723281475416228,0.07529633095488751,0.3253012048192771,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.0
Franziska,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.0
Gina,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Isabelle,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.2936746987951807,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Karina,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.0
Luisa,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Ricarda,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07529633095488751,0.07809880297890591,0.08433734939759036,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Zoe,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.3253012048192771,0.08433734939759036,0.0,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.0
