,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.0,0.06944444444444445,0.25,0.0625,0.0,0.041666666666666664,0.0,0.0763888888888889,0.4444444444444444,0.05555555555555555,0.09722222222222222
Cecilia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222
Celina,0.0,0.1597222222222222,0.3888888888888889,0.020833333333333332,0.0,0.10416666666666667,0.006944444444444444,0.1111111111111111,0.020833333333333332,0.1875,0.09722222222222222
Franziska,0.0,0.125,0.08333333333333333,0.09027777777777778,0.0,0.2569444444444444,0.013888888888888888,0.1111111111111111,0.0,0.3194444444444444,0.09722222222222222
Gina,0.0,0.14583333333333334,0.027777777777777776,0.08333333333333333,0.0,0.22916666666666666,0.006944444444444444,0.0625,0.2222222222222222,0.2222222222222222,0.2222222222222222
Isabelle,0.0,0.14583333333333334,0.027777777777777776,0.09027777777777778,0.0,0.3541666666666667,0.05555555555555555,0.1736111111111111,0.1527777777777778,0.0,0.09722222222222222
Karina,0.0,0.2013888888888889,0.08333333333333333,0.375,0.0,0.0,0.0,0.3263888888888889,0.013888888888888888,0.0,0.09722222222222222
Luisa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09722222222222222
Ricarda,0.0,0.013888888888888888,0.05555555555555555,0.0,0.0,0.013888888888888888,0.9166666666666666,0.0,0.0,0.0,0.0
Zoe,0.0,0.1388888888888889,0.08333333333333333,0.2777777777777778,0.0,0.0,0.0,0.1388888888888889,0.14583333333333334,0.2152777777777778,0.09722222222222222
