,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.0448968209704406,0.07194645844952594,0.07975460122699386,0.0694366982710541,0.07501394311210262,0.16397099832682654,0.007808142777467931,0.06915783602900168,0.32069157836029,0.0973229224762967,0.0
Cecilia,0.5365309537088678,0.05382041271611824,0.05549358616843279,0.04880089235917457,0.054935861684327944,0.05800334634690463,0.005856107083100948,0.0501952035694367,0.049916341327384275,0.08644729503625209,0.0
Celina,0.05242610150585611,0.0822643614054657,0.19408812046848856,0.0822643614054657,0.0,0.2621305075292805,0.018404907975460124,0.11461238148354713,0.08003346346904629,0.11377579475738984,0.0
Franziska,0.05577244841048522,0.07138873396542109,0.0769659788064696,0.1045733407696598,0.21109871723368656,0.0897936419408812,0.018962632459564976,0.1946458449525934,0.07780256553262688,0.09899609592861126,0.0
Gina,0.06358059118795314,0.2085889570552147,0.08533184606804238,0.08895705521472393,0.09760178471834914,0.09174567763524819,0.02426101505856107,0.08728388176240937,0.14779698828778584,0.10485220301171222,0.0
Isabelle,0.05577244841048522,0.06999442275515895,0.07724484104852203,0.18823201338538761,0.2233686558839933,0.11015058561070831,0.018962632459564976,0.07780256553262688,0.07529280535415504,0.10317902955939766,0.0
Karina,0.07417735638594534,0.2520914668153932,0.13831567205800335,0.09871723368655884,0.1045733407696598,0.11517010596765198,0.026770775237032907,0.0973229224762967,0.0928611266034579,0.0,0.0
Luisa,0.05158951477969883,0.09537088678192973,0.1912994980479643,0.07445621862799777,0.08365867261572783,0.08505298382598996,0.018404907975460124,0.07640825432236475,0.06915783602900168,0.254601226993865,0.0
Ricarda,0.006413831567205801,0.016174010039040714,0.018126045733407696,0.02063580591187953,0.022308979364194088,0.023982152816508645,0.8388176240936978,0.019799219185722253,0.005577244841048522,0.028165086447295037,0.0
Zoe,0.05883993307306191,0.07836029001673174,0.08337981037367541,0.22392638036809817,0.12744004461795874,0.0,0.021751254880089235,0.2127718906860011,0.08087005019520357,0.11266034578918015,0.0
