,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.05263157894736842,0.0,0.6842105263157895,0.0,0.0,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.05263157894736842
Antonio,0.5789473684210527,0.0,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
Dustin,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.05263157894736842,0.0,0.42105263157894735,0.05263157894736842
Jordi,0.0,0.5789473684210527,0.05263157894736842,0.0,0.0,0.0,0.0,0.21052631578947367,0.15789473684210525,0.0,0.42105263157894735
Leon,0.0,0.0,0.10526315789473684,0.7368421052631579,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842
Marius,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.5789473684210527,0.05263157894736842
Max,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.2631578947368421,0.15789473684210525,0.47368421052631576,0.0,0.0,0.05263157894736842
Mike,0.0,0.3157894736842105,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
Tim,0.05263157894736842,0.0,0.0,0.10526315789473684,0.10526315789473684,0.631578947368421,0.05263157894736842,0.05263157894736842,0.0,0.0,0.15789473684210525
William,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,0.05263157894736842
