,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.10563671851895665,0.08702509808560557,0.08668993119220836,0.09167800319394334,0.06661934898759883,0.07081879300486978,0.08696595098677076,0.07511681552019873,0.24254253662191202,0.08690680388793597,0.0
Antonio,0.06661934898759883,0.06730939847400486,0.06709252577827725,0.06912324283827212,0.04516866781017725,0.04962441592239901,0.06760513396817885,0.43313420476725617,0.06661934898759883,0.06770371246623687,0.0
Dustin,0.08668993119220836,0.08702509808560557,0.1046706492379882,0.09252577827724216,0.06709252577827725,0.0713314011947714,0.08580272470968632,0.07578714930699317,0.08668993119220836,0.24238481102501921,0.0
Jordi,0.08696595098677076,0.2411230062498768,0.08580272470968632,0.09114567930443011,0.06760513396817885,0.0716862837877802,0.08911496224443524,0.07606316910155557,0.08696595098677076,0.10352713866051537,0.0
Leon,0.09167800319394334,0.10932355434632599,0.09252577827724216,0.28954476449596817,0.06912324283827212,0.07468307012874352,0.09114567930443011,0.0,0.09167800319394334,0.09029790422113129,0.0
Marius,0.08690680388793597,0.08822775576191322,0.24238481102501921,0.09029790422113129,0.06770371246623687,0.07176514658622661,0.10352713866051537,0.07618146329922518,0.08690680388793597,0.08609846020386033,0.0
Max,0.07081879300486978,0.07121310699710179,0.0713314011947714,0.07468307012874352,0.04962441592239901,0.3920861181759035,0.0716862837877802,0.055972871197334434,0.07081879300486978,0.07176514658622661,0.0
Mike,0.07511681552019873,0.07555056091165395,0.07578714930699317,0.0,0.43313420476725617,0.055972871197334434,0.07606316910155557,0.05707695037558408,0.07511681552019873,0.07618146329922518,0.0
Tim,0.08702509808560557,0.08617732300230674,0.08702509808560557,0.10932355434632599,0.06730939847400486,0.07121310699710179,0.2411230062498768,0.07555056091165395,0.08702509808560557,0.08822775576191322,0.0
William,0.24254253662191202,0.08702509808560557,0.08668993119220836,0.09167800319394334,0.06661934898759883,0.07081879300486978,0.08696595098677076,0.07511681552019873,0.10563671851895665,0.08690680388793597,0.0
