,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.12576031563373335,0.15798125924708203,0.09559427913858294,0.15304948216340622,0.05293440736478711,0.10406049646555976,0.10019727108334703,0.11195133979944107,0.0,0.09847114910406049,0.0
Antonio,0.06460627979615322,0.09041591320072333,0.06772973861581456,0.09000493177708367,0.02770014795331251,0.014302153542659872,0.06920927174091732,0.411556797632747,0.0946901200065757,0.06978464573401283,0.0
Dustin,0.06098964326812428,0.1057866184448463,0.06559263521288838,0.1022521782015453,0.030001643925694557,0.07479861910241657,0.06181160611540358,0.08120992931119514,0.0982245602498767,0.3193325661680092,0.0
Jordi,0.0992931119513398,0.14532303139898076,0.09690941969422982,0.050797303961860926,0.05211244451750781,0.10184119677790564,0.1011836265000822,0.10184119677790564,0.14581620910734835,0.10488245931283906,0.0
Leon,0.11458162091073483,0.0,0.11441722834127897,0.1801742561236232,0.08096334045701134,0.10307414104882459,0.11647213545947724,0.0,0.17450271247739602,0.11581456518165378,0.0
Marius,0.05852375472628637,0.10496465559756699,0.33084004602991945,0.09995068222916324,0.029344073647871116,0.07479861910241657,0.06337333552523426,0.0805523590333717,0.09633404570113431,0.061318428407036,0.0
Max,0.0713463751438435,0.10143021535426598,0.07479861910241657,0.1036495150419201,0.03345388788426763,0.3423475258918297,0.07627815222751931,0.014302153542659872,0.1055400295906625,0.07685352622061482,0.0
Mike,0.03074141048824593,0.08605951011014303,0.03320729903008384,0.0,0.64376130198915,0.04002959066250206,0.034440243301002794,0.04183790892651652,0.061893802400131516,0.02802893309222423,0.0
Tim,0.06312674667105046,0.10356731875719218,0.06205819496958737,0.11696531316784481,0.023014959723820484,0.07446983396350484,0.31563373335525235,0.08088114417228341,0.09723820483314154,0.06304455038632253,0.0
William,0.31103074141048825,0.1044714778891994,0.058852539865198096,0.10315633733355252,0.026713792536577345,0.0702778234423804,0.06140062469176393,0.07586717080387967,0.12576031563373335,0.06246917639322703,0.0
