,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.0759540570581697,0.1641348647647277,0.1670989255279733,0.15709522045201926,0.039273805113004816,0.11670989255279733,0.11152278621711745,0.08225268618006669,0.0,0.08595776213412375,0.1
Antonio,0.0385327899221934,0.0700259355316784,0.06854390515005558,0.057799184883290104,0.008521674694331233,0.0014820303816228233,0.06298629121897,0.580585402000741,0.06891441274546128,0.04260837347165617,0.1
Dustin,0.03890329751759911,0.09484994442386069,0.055946646906261575,0.09818451278251204,0.016672841793256763,0.06632085957762134,0.0570581696924787,0.04853649499814746,0.07780659503519823,0.4457206372730641,0.1
Jordi,0.09707298999629492,0.0955909596146721,0.1148573545757688,0.028158577250833643,0.0444609114486847,0.12523156724712856,0.12486105965172287,0.06854390515005558,0.23749536865505744,0.0637273064097814,0.1
Leon,0.10040755835494627,0.0,0.14190440904038532,0.12930715079659133,0.0759540570581697,0.13153019636902558,0.14412745461281956,0.0,0.1711745090774361,0.10559466469062616,0.1
Marius,0.06150426083734717,0.13708781030011116,0.17339755464987033,0.16524638755094478,0.028899592441645052,0.09670248240088922,0.08669877732493517,0.08002964060763246,0.10670618747684328,0.0637273064097814,0.1
Max,0.06669136717302705,0.12930715079659133,0.09670248240088922,0.13745831789551685,0.03779177473138199,0.22638014079288626,0.12226750648388292,0.002223045572434235,0.11115227862171174,0.0700259355316784,0.1
Mike,0.014820303816228233,0.08225268618006669,0.028899592441645052,0.0,0.7158206743238237,0.043719896257873286,0.036680251945164874,0.014820303816228233,0.04853649499814746,0.014449796220822526,0.1
Tim,0.06595035198221563,0.13041867358280845,0.0896628380881808,0.12523156724712856,0.018895887365690995,0.12560207484253427,0.19303445720637272,0.0766950722489811,0.10855872545387181,0.06595035198221563,0.1
William,0.4401630233419785,0.09633197480548351,0.06298629121897,0.1015190811411634,0.013708781030011115,0.06632085957762134,0.060763245646535756,0.04631344942571323,0.06965542793627269,0.04223786587625046,0.1
