,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.10550935550935552,0.0816008316008316,0.2998960498960499,0.06756756756756757,0.02338877338877339,0.09355509355509356,0.059251559251559255,0.1704781704781705,0.0,0.09875259875259876,0.08367983367983368
Antonio,0.036382536382536385,0.19022869022869024,0.14864864864864866,0.13253638253638253,0.03898128898128898,0.018711018711018712,0.12525987525987525,0.0,0.15436590436590436,0.1548856548856549,0.08367983367983368
Dustin,0.029106029106029108,0.08004158004158005,0.18711018711018712,0.04313929313929314,0.004677754677754678,0.09251559251559252,0.034303534303534305,0.14708939708939708,0.079002079002079,0.303014553014553,0.08367983367983368
Jordi,0.012993762993762994,0.2811850311850312,0.07744282744282745,0.0,0.02182952182952183,0.079002079002079,0.06912681912681913,0.1845114345114345,0.23180873180873182,0.0420997920997921,0.08367983367983368
Leon,0.004158004158004158,0.0,0.08264033264033264,0.44646569646569645,0.07068607068607069,0.06704781704781705,0.11330561330561331,0.0,0.11434511434511435,0.10135135135135136,0.08367983367983368
Marius,0.016112266112266113,0.04677754677754678,0.035862785862785865,0.13253638253638253,0.02286902286902287,0.04106029106029106,0.3232848232848233,0.1600831600831601,0.15748440748440748,0.06392931392931393,0.08367983367983368
Max,0.013513513513513514,0.09511434511434512,0.07744282744282745,0.033783783783783786,0.0005197505197505198,0.3191268191268191,0.20322245322245322,0.028066528066528068,0.10706860706860707,0.12214137214137215,0.08367983367983368
Mike,0.004677754677754678,0.08627858627858628,0.009355509355509356,0.0,0.8066528066528067,0.0,0.014033264033264034,0.06652806652806653,0.007796257796257797,0.004677754677754678,0.08367983367983368
Tim,0.014033264033264034,0.10810810810810811,0.06340956340956341,0.14085239085239085,0.010395010395010396,0.25935550935550933,0.04417879417879418,0.1891891891891892,0.07276507276507277,0.09771309771309772,0.24688149688149688
William,0.7635135135135135,0.030665280665280667,0.018191268191268192,0.0031185031185031187,0.0,0.029625779625779627,0.014033264033264034,0.05405405405405406,0.07536382536382537,0.011434511434511435,0.08367983367983368
